"STATE","DISTRICT","0-2 HP","2-4 HP","4-6 HP","6-8 HP","8-10 HP","ABOVE 10 HP","NO LIFTING DEVICE","TOTAL"
"MADHYA PRADESH","REWA",441,6344,5416,70,6,37,116,12430
"MADHYA PRADESH","SAGAR",1353,28464,30030,276,134,86,0,60343
"MADHYA PRADESH","SATNA",517,8830,6340,123,1846,118,6,17780
"MADHYA PRADESH","SEHORE",3960,6977,17767,286,118,59,24,29191
"MADHYA PRADESH","SEONI",1404,10322,3622,36,2365,283,78,18110
"MADHYA PRADESH","SHAHDOL",200,1464,430,3,0,2,3,2102
"MADHYA PRADESH","SHAJAPUR",394,32362,17202,507,19,1436,1,51921
"MADHYA PRADESH","SHEOPUR",11,13,1410,65,840,57,1,2397
"MADHYA PRADESH","SHIVPURI",1026,3380,40474,943,36,428,0,46287
"MADHYA PRADESH","SIDHI",5263,10150,2807,17,5,58,123,18423
"MADHYA PRADESH","TIKAMGARH",102,31840,12387,34,6,65,231,44665
"MADHYA PRADESH","UJJAIN",82,29805,14820,38,60,11,45,44861
"MADHYA PRADESH","UMARIA",742,1014,791,0,0,4,12,2563
"MADHYA PRADESH","VIDISHA",4,226,17478,175,2216,179,0,20278
"MAHARASHTRA","AHMEDNAGAR",25813,86398,56567,5677,164,1515,474,176608
"MAHARASHTRA","AKOLA",214,16669,2987,1466,13,107,0,21456
"MAHARASHTRA","AMRAVATI",399,39569,38694,1882,11,496,0,81051
"MAHARASHTRA","AURANGABAD",480,72571,25653,662,240,1502,77,101185
"MAHARASHTRA","BEED",34,16767,18914,5120,47,1268,1,42151
"MAHARASHTRA","BHANDARA",32,9177,6026,36,1,2505,189,17966
"MAHARASHTRA","BULDANA",339,63726,7518,475,28,294,13,72393
"MAHARASHTRA","CHANDRAPUR",27,8875,9858,33,5,1992,132,20922
"MAHARASHTRA","DHULE",3698,40612,14181,357,79,404,8,59339
"MAHARASHTRA","GADCHIROLI",50,4398,6217,7,0,1675,777,13124
"MAHARASHTRA","GONDIYA",168,5997,2126,18,9,298,864,9480
"MAHARASHTRA","HINGOLI",70,15159,13361,278,32,149,0,29049
"MAHARASHTRA","JALGAON",746,68300,31771,5367,372,15640,25,122221
"MAHARASHTRA","JALNA",422,33191,36464,932,58,143,0,71210
"MAHARASHTRA","KOLHAPUR",1311,16665,22137,808,1023,1442,24,43410
"MAHARASHTRA","LATUR",11,4528,32940,670,1,98,5,38253
"MAHARASHTRA","NAGPUR",96,53335,8570,32,5,7079,578,69695
"MAHARASHTRA","NANDED",28,12337,19425,131,108,117,1,32147
"MAHARASHTRA","NANDURBAR",61,10092,6160,368,63,192,3,16939
"MAHARASHTRA","NASHIK",351,82396,92748,1407,72,1745,74,178793
"MAHARASHTRA","OSMANABAD",244,21776,22791,2413,21,700,37,47982
"MAHARASHTRA","PARBHANI",63,19589,10714,605,25,326,2,31324
"MAHARASHTRA","PUNE",6,2893,126808,12,1,25,0,129745
"MAHARASHTRA","RAIGHAR",1071,1532,1612,5,1,6,379,4606
"MAHARASHTRA","RATNAGIRI",1212,1315,312,40,57,48,416,3400
"MAHARASHTRA","SANGLI",71,46711,37706,2599,543,1175,2,88807
"MAHARASHTRA","SATARA",52,26332,40762,905,126,1046,7,69230
"MAHARASHTRA","SINDHUDURGA",1872,3691,1204,13,7,33,619,7439
"MAHARASHTRA","SOLAPUR",359,48232,79034,3071,126,2015,5,132842
"MAHARASHTRA","THANE",86,2944,4180,19,54,19,989,8291
"MAHARASHTRA","WARDHA",34,28186,4183,24,0,14787,80,47294
"MAHARASHTRA","WASHIM",89,17695,8042,175,1,43,0,26045
"MAHARASHTRA","YAVATMAL",159,29626,10611,228,30,291,0,40945
"MEGHALAYA","JAINTIA HILLS",1,0,0,0,0,0,7,8
"MEGHALAYA","WEST GARO HILLS",0,0,1,0,0,0,1,2
"MEGHALAYA","WEST KHASI HILLS",0,0,2,0,0,0,1,3
"NAGALAND","DIMAPUR",21,0,70,0,0,0,8,99
"ODISHA","ANGUL",3661,2017,340,1,0,26,25602,31647
"ODISHA","BALASORE",1468,383,262,2,0,8,519,2642
"ODISHA","BARGARH",5790,3267,2062,1,2,9,12479,23610
"ODISHA","BHADRAK",142,57,31,0,0,4,20,254
"ODISHA","BOLANGIR",12903,5952,466,7,0,184,39760,59272
"ODISHA","BOUDH",1765,607,123,3,0,3,10374,12875
"ODISHA","CUTTACK",3222,2728,68,1,0,5,9567,15591
"ODISHA","DEOGARH",1186,404,74,5,1,4,5815,7489
"ODISHA","DHENKANAL",5565,1953,471,5,0,18,4356,12368
"ODISHA","GAJAPATI",3116,98,15,0,0,0,1168,4397
"ODISHA","GANJAM",7294,4587,256,2,1,15,20441,32596
"ODISHA","JAGATSINGHPUR",545,225,18,1,0,3,164,956
"ODISHA","JAJAPUR",806,1199,175,0,0,7,1031,3218
"ODISHA","JHARSUGUDA",2513,1774,130,1,3,21,2364,6806
"ODISHA","KALAHANDI",5148,708,157,0,1,18,15531,21563
"ODISHA","KANDHAMAL",3809,1125,125,1,0,37,4287,9384
"ODISHA","KENDRAPARA",129,165,37,0,0,3,35,369
"ODISHA","KEONJHAR",5270,2023,157,0,0,4,16245,23699
"ODISHA","KHURDA",5961,257,52,1,0,5,8634,14910
"ODISHA","KORAPUT",2812,98,144,1,2,0,2319,5376
"ODISHA","MALKANAGIRI",1440,162,28,0,0,3,563,2196
"ODISHA","MAYURBHANJA",7019,575,690,2,0,18,5136,13440
"ODISHA","NAWARANGAPUR",2062,579,116,1,0,2,8810,11570
"ODISHA","NAYAGARH",5447,3401,262,12,2,12,7331,16467
"ODISHA","NUAPADA",4048,460,293,0,1,10,9727,14539
"ODISHA","PURI",287,204,20,1,0,8,134,654
"ODISHA","RAYAGADA",1068,60,47,2,0,3,1172,2352
"ODISHA","SAMBALPUR",4231,4102,1222,4,1,46,8295,17901
"ODISHA","SONEPUR",1736,890,164,13,3,18,10569,13393
"ODISHA","SUNDARGARH",7444,3822,1424,17,6,135,11187,24035
"PUDUCHERRY","PUDUCHERRY",1,0,58,0,15,10,0,84
"RAJASTHAN","AJMER",33230,811,22206,421,15999,2146,1627,76440
"RAJASTHAN","ALWAR",12032,36,2721,2834,30984,33146,10,81763
"RAJASTHAN","BANSWARA",984,750,6408,522,1643,324,3,10634
"RAJASTHAN","BARAN",1378,49,10977,558,1975,802,298,16037
"RAJASTHAN","BARMER",1471,11,935,64,3279,15395,1,21156
"RAJASTHAN","BHARATPUR",2577,0,97,9,3636,789,14,7122
"RAJASTHAN","BHILWARA",37025,9326,43637,2801,11919,1712,13875,120295
"RAJASTHAN","BIKANER",18,0,2,0,1,954,0,975
"RAJASTHAN","BUNDI",2370,272,4828,2802,8522,4697,805,24296
"RAJASTHAN","CHITTORGARH",7419,15379,58136,1209,11961,1478,1865,97447
"RAJASTHAN","CHURU",800,54,164,2,40,4980,1,6041
"RAJASTHAN","DAUSA",7049,32,2447,477,17656,6591,26,34278
"RAJASTHAN","DHOLPUR",886,40,327,47,1395,1259,0,3954
"RAJASTHAN","DUNGARPUR",2951,1643,9182,157,2672,795,622,18022
