"STATE","DISTRICT","ELECTRIC PUMPS","DIESEL PUMPS","WIND MILLS","SOLAR PUMPS","MANUAL/ANIMAL","OTHERS","TOTAL"
"MAHARASHTRA","GADCHIROLI",26,3,1,0,1,0,31
"MAHARASHTRA","GONDIYA",110,2,0,0,2,0,114
"MAHARASHTRA","HINGOLI",339,1,0,0,0,0,340
"MAHARASHTRA","JALGAON",8736,13,4,0,2,16,8771
"MAHARASHTRA","JALNA",409,0,0,0,0,4,413
"MAHARASHTRA","KOLHAPUR",1741,16,0,5,0,71,1833
"MAHARASHTRA","LATUR",13551,71,1,0,0,3,13626
"MAHARASHTRA","NAGPUR",21,0,0,0,0,0,21
"MAHARASHTRA","NANDED",1719,21,3,0,2,0,1745
"MAHARASHTRA","NANDURBAR",5012,7,6,0,0,536,5561
"MAHARASHTRA","NASHIK",7332,80,47,1,0,0,7460
"MAHARASHTRA","OSMANABAD",14131,4,3,1,81,125,14345
"MAHARASHTRA","PARBHANI",173,1,0,0,0,0,174
"MAHARASHTRA","PUNE",2175,9,45,0,0,0,2229
"MAHARASHTRA","RAIGHAR",69,0,0,0,0,2,71
"MAHARASHTRA","RATNAGIRI",19,0,0,0,0,0,19
"MAHARASHTRA","SANGLI",16499,28,12,0,0,33,16572
"MAHARASHTRA","SATARA",687,25,0,0,0,0,712
"MAHARASHTRA","SINDHUDURGA",21,1,0,0,1,3,26
"MAHARASHTRA","SOLAPUR",18990,64,45,2,3,241,19345
"MAHARASHTRA","THANE",61,7,0,0,0,0,68
"MAHARASHTRA","WARDHA",12,0,0,0,0,0,12
"MAHARASHTRA","WASHIM",621,1,3,0,0,0,625
"MAHARASHTRA","YAVATMAL",230,3,0,0,0,0,233
"MEGHALAYA","WEST GARO HILLS",1,1,0,0,0,3,5
"NAGALAND","DIMAPUR",0,0,0,0,0,2,2
"ODISHA","ANGUL",110,10,0,0,3,5,128
"ODISHA","BALASORE",347,8,0,0,1,1369,1725
"ODISHA","BARGARH",289,10,0,0,1,39,339
"ODISHA","BHADRAK",161,3,0,0,2,482,648
"ODISHA","BOLANGIR",20,0,0,0,6,2,28
"ODISHA","CUTTACK",155,12,0,0,0,187,354
"ODISHA","DEOGARH",173,9,0,0,13,7,202
"ODISHA","DHENKANAL",30,3,1,0,3,5,42
"ODISHA","GAJAPATI",2,0,0,0,1,0,3
"ODISHA","GANJAM",75,1,0,0,11,39,126
"ODISHA","JAGATSINGHPUR",36,5,0,0,0,259,300
"ODISHA","JAJAPUR",172,19,0,0,0,637,828
"ODISHA","JHARSUGUDA",125,0,0,0,1,8,134
"ODISHA","KALAHANDI",4,1,0,0,0,3,8
"ODISHA","KANDHAMAL",1,0,0,0,0,0,1
"ODISHA","KENDRAPARA",13,1,0,0,1,75,90
"ODISHA","KEONJHAR",24,5,0,0,1,111,141
"ODISHA","KHURDA",17,1,0,0,16,31,65
"ODISHA","KORAPUT",9,0,0,0,1,2,12
"ODISHA","MALKANAGIRI",22,0,0,0,2,1,25
