"STATE","DISTRICT","0-2 HP","2-4 HP","4-6 HP","6-8 HP","8-10 HP","AVE 10 HP","NO LIFTING DEVICE","TOTAL"
"MADHYA PRADESH","BETUL",20,1436,391,66,110,10,0,2033
"MADHYA PRADESH","BHIND",2,2,170,349,292,1333,83,2231
"MADHYA PRADESH","BHOPAL",1,2748,6403,436,6,26,0,9620
"MADHYA PRADESH","BURHANPUR",0,27,112,161,2,531,0,833
"MADHYA PRADESH","CHHATARPUR",1,1,24,1,8,3,0,38
"MADHYA PRADESH","CHHINDWARA",2,94,49,8,2,4,1,160
"MADHYA PRADESH","DAMOH",13,764,1817,48,3,14,0,2659
"MADHYA PRADESH","DATIA",4,22,540,0,0,5,0,571
"MADHYA PRADESH","DEWAS",4,2745,7258,361,465,511,0,11344
"MADHYA PRADESH","DHAR",80,7351,21151,945,203,124,2,29856
"MADHYA PRADESH","DINDORI",0,0,5,0,0,0,0,5
"MADHYA PRADESH","GUNA",2,237,3059,129,15,653,0,4095
"MADHYA PRADESH","GWALIOR",11,1323,6169,548,348,274,66,8739
"MADHYA PRADESH","HARDA",0,247,843,34,20,24,0,1168
"MADHYA PRADESH","HOSHANGABAD",88,970,5846,1559,231,259,0,8953
"MADHYA PRADESH","INDORE",130,416,30667,7375,2169,53,0,40810
"MADHYA PRADESH","JABALPUR",50,424,7260,968,3,1050,0,9755
"MADHYA PRADESH","JHABUA",75,431,475,42,0,19,0,1042
"MADHYA PRADESH","KATNI",3,441,363,9,0,5,4,825
"MADHYA PRADESH","KHANDWA",0,386,539,151,23,39,0,1138
"MADHYA PRADESH","KHARGONE",0,432,554,222,37,12,0,1257
"MADHYA PRADESH","MANDLA",5,2,1,0,0,0,0,8
"MADHYA PRADESH","MANDSAUR",0,279,179,39,0,14,0,511
"MADHYA PRADESH","MORENA",6,1,440,24,4,208,0,683
"MADHYA PRADESH","NARSINGHPUR",28,2838,16528,2691,8,315,0,22408
"MADHYA PRADESH","NEEMUCH",0,145,361,122,0,13,0,641
"MADHYA PRADESH","PANNA",2,540,1853,5,8,2,0,2410
"MADHYA PRADESH","RAISEN",1,313,8156,364,13,188,0,9035
"MADHYA PRADESH","RAJGARH",8,1128,1868,766,27,128,0,3925
"MADHYA PRADESH","RATLAM",19,1529,1339,40,62,25,880,3894
"MADHYA PRADESH","REWA",32,961,699,18,0,3,6,1719
"MADHYA PRADESH","SAGAR",6,1776,1578,4,11,12,0,3387
"MADHYA PRADESH","SATNA",10,1129,3176,49,247,9,0,4620
"MADHYA PRADESH","SEHORE",1714,1626,9910,1554,2467,152,0,17423
"MADHYA PRADESH","SEONI",4,314,58,3,9,3,0,391
"MADHYA PRADESH","SHAHDOL",2,54,14,0,0,0,0,70
"MADHYA PRADESH","SHAJAPUR",4,863,4709,202,53,34,0,5865
"MADHYA PRADESH","SHEOPUR",1,0,507,178,1267,70,11,2034
"MADHYA PRADESH","SHIVPURI",4,40,515,91,1,15,0,666
"MADHYA PRADESH","SIDHI",158,1071,485,0,1,23,4,1742
"MADHYA PRADESH","TIKAMGARH",1,103,16,0,0,0,0,120
"MADHYA PRADESH","UJJAIN",29,4145,31991,1640,108,6,2,37921
"MADHYA PRADESH","UMARIA",24,145,261,2,0,1,7,440
"MADHYA PRADESH","VIDISHA",0,352,10280,311,1089,426,0,12458
"MAHARASHTRA","AHMEDNAGAR",1942,6623,4886,810,71,145,433,14910
"MAHARASHTRA","AKOLA",0,136,97,4,43,6,10,296
"MAHARASHTRA","AMRAVATI",0,64,145,729,1,25,1,965
"MAHARASHTRA","AURANGABAD",5,912,554,31,26,46,3,1577
"MAHARASHTRA","BEED",0,648,755,27,2,5,0,1437
"MAHARASHTRA","BHANDARA",0,2,68,0,0,9,0,79
"MAHARASHTRA","BULDANA",2,265,241,4,3,4,1,520
"MAHARASHTRA","CHANDRAPUR",0,969,374,3,2,92,30,1470
"MAHARASHTRA","DHULE",0,257,1605,355,8,55,160,2440
"MAHARASHTRA","GADCHIROLI",0,1,53,2,0,6,0,62
"MAHARASHTRA","GONDIYA",0,154,27,1,0,7,5,194
"MAHARASHTRA","HINGOLI",2,1521,1441,25,1,10,0,3000
"MAHARASHTRA","JALGAON",2,332,2107,910,245,848,12,4456
"MAHARASHTRA","JALNA",12,616,209,2,0,2,0,841
"MAHARASHTRA","KOLHAPUR",33,832,819,67,35,59,0,1845
"MAHARASHTRA","LATUR",17,307,1231,346,1,2,1,1905
"MAHARASHTRA","NAGPUR",0,86,14,0,0,5,1,106
"MAHARASHTRA","NANDED",4,2238,4917,15,10,14,0,7198
"MAHARASHTRA","NANDURBAR",18,393,1870,2082,1855,914,3,7135
"MAHARASHTRA","NASHIK",4,412,3034,4,0,14,0,3468
