"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (LINED/PUCCA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLE - NUMBER","SPRINKLE - POTENTIAL UTILISED","OTHER - NUMBER","OTHER - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"HARYANA","FATEHABAD",38,273.34,2967,22388.9,0,0,0,0,0,0,0,0,0,0,3005,22662.24
"HARYANA","GURGAON",1621,1573.9,378,752.2,0,0,0,0,0,0,0,0,0,0,1999,2326.1
"HARYANA","HISSAR",77,296.2,360,2524.36,0,0,0,0,0,0,0,0,0,0,437,2820.56
"HARYANA","JHAJJAR",1260,3566.12,1086,4354.08,0,0,0,0,0,0,0,0,0,0,2346,7920.2
"HARYANA","JIND",0,0,1875,7310.72,0,0,0,0,0,0,0,0,0,0,1875,7310.72
"HARYANA","KAITHAL",764,5046.38,3653,23650.4,0,0,0,0,0,0,0,0,0,0,4417,28696.78
"HARYANA","KARNAL",1916,8382.54,3351,17973.12,0,0,0,0,0,0,0,0,0,0,5267,26355.66
"HARYANA","KURUKSHETRA",0,0,3596,34123.06,0,0,0,0,0,0,0,0,0,0,3596,34123.06
"HARYANA","MAHENDRAGARH",641,3180.04,851,6701.86,0,0,0,0,0,0,0,0,0,0,1492,9881.9
"HARYANA","MEWAT",1791,4525.56,1581,5402.78,0,0,0,0,0,0,0,0,0,0,3372,9928.34
"HARYANA","PANCHKULA",47,123.54,301,2115.58,0,0,0,0,0,0,0,0,0,0,348,2239.12
"HARYANA","PANIPAT",738,2403.78,1829,9250.68,0,0,0,0,0,0,0,0,0,0,2567,11654.46
"HARYANA","REWARI",560,3318.9,481,2720.32,0,0,0,0,0,0,0,0,0,0,1041,6039.22
"HARYANA","ROHTAK",247,1097.02,90,321.06,0,0,0,0,0,0,0,0,0,0,337,1418.08
"HARYANA","SIRSA",645,2866.46,2512,22633.78,0,0,0,0,0,0,0,0,0,0,3157,25500.24
"HARYANA","SONEPAT",1703,5552.08,832,3777.7,0,0,0,0,0,0,0,0,0,0,2535,9329.78
"HARYANA","YAMUNANAGAR",568,2159.18,475,2596.44,0,0,0,0,0,0,0,0,0,0,1043,4755.62
"HIMACHAL PRADESH","Bilaspur",0,0,0,0,2,3.14,0,0,0,0,0,0,0,0,2,3.14
"HIMACHAL PRADESH","Hamirpur",0,0,0,0,0,0,3,1.86,0,0,0,0,0,0,3,1.86
"HIMACHAL PRADESH","Kangra",22,574.79,36,1430.04,58,2146.25,2,21,0,0,0,0,0,0,118,4172.08
"HIMACHAL PRADESH","Mandi",0,0,0,0,1,20,0,0,0,0,0,0,0,0,1,20
"HIMACHAL PRADESH","Sirmaur",7,244.9,4,8,0,0,26,75.54,0,0,0,0,3,0,40,328.44
"HIMACHAL PRADESH","Solan",10,165.24,49,655.19,21,297.18,0,0,1,2,0,0,0,0,81,1119.61
"HIMACHAL PRADESH","Una",40,1669.99,33,1325.88,140,6283.17,3,83.4,1,3,9,46.7,0,0,226,9412.14
"JAMMU & KASHMIR","JAMMU",21,350.46,30,326.08,1,2.02,0,0,0,0,0,0,1,4.84,53,683.4
"JAMMU & KASHMIR","KATHUA",2,20,25,88,0,0,0,0,0,0,0,0,0,0,27,108
"JHARKHAND","CHATRA",0,0,5,2.5,0,0,0,0,0,0,0,0,0,0,5,2.5
"JHARKHAND","DEOGHAR",2,0,85,0,2,0,62,0,0,0,0,0,2,0,153,0
"JHARKHAND","DHANBAD",0,0,9,5,0,0,0,0,0,0,0,0,1,0,10,5
