"STATE","DISTRICT","ELECTRIC PUMPS","DIESEL PUMPS","WIND MILLS","SOLAR PUMPS","MANUAL / ANIMAL","OTHERS","TOTAL"
"ODISHA","DEOGARH",419,245,3,2,5815,1005,7489
"ODISHA","DHENKANAL",1874,1542,2,5,4356,4589,12368
"ODISHA","GAJAPATI",26,63,0,2,1168,3138,4397
"ODISHA","GANJAM",830,2881,16,22,20441,8406,32596
"ODISHA","JAGATSINGHPUR",44,138,1,0,164,609,956
"ODISHA","JAJAPUR",182,802,1,0,1031,1202,3218
"ODISHA","JHARSUGUDA",1016,1392,5,5,2364,2024,6806
"ODISHA","KALAHANDI",355,617,2,2,15531,5056,21563
"ODISHA","KANDHAMAL",98,1127,1,0,4287,3871,9384
"ODISHA","KENDRAPARA",27,69,0,1,35,237,369
"ODISHA","KEONJHAR",544,672,1,4,16245,6233,23699
"ODISHA","KHURDA",40,253,1,0,8634,5982,14910
"ODISHA","KORAPUT",27,205,0,2,2319,2823,5376
"ODISHA","MALKANAGIRI",11,185,0,0,563,1437,2196
"ODISHA","MAYURBHANJA",445,803,1,6,5136,7049,13440
"ODISHA","NAWARANGAPUR",32,642,1,6,8810,2079,11570
"ODISHA","NAYAGARH",184,1559,3,0,7331,7390,16467
"ODISHA","NUAPADA",430,456,1,0,9727,3925,14539
"ODISHA","PURI",14,172,1,1,134,332,654
"ODISHA","RAYAGADA",47,38,2,2,1172,1091,2352
"ODISHA","SAMBALPUR",1681,4052,13,11,8295,3849,17901
"ODISHA","SONEPUR",531,734,8,22,10569,1529,13393
"ODISHA","SUNDARGARH",1409,3159,13,6,11187,8261,24035
"PUDUCHERRY","PUDUCHERRY",83,1,0,0,0,0,84
"RAJASTHAN","AJMER",10479,24472,3,1,1627,39858,76440
"RAJASTHAN","ALWAR",33101,35617,2,11,10,13022,81763
"RAJASTHAN","BANSWARA",1123,7930,1,44,3,1533,10634
"RAJASTHAN","BARAN",1721,12371,0,2,298,1645,16037
"RAJASTHAN","BARMER",14894,3804,1,0,1,2456,21156
"RAJASTHAN","BHARATPUR",487,3958,0,0,14,2663,7122
"RAJASTHAN","BHILWARA",27126,38398,38,9,13875,40849,120295
"RAJASTHAN","BIKANER",947,2,0,0,0,26,975
"RAJASTHAN","BUNDI",6475,13085,3,2,805,3926,24296
"RAJASTHAN","CHITTORGARH",53510,32820,12,3,1865,9237,97447
"RAJASTHAN","CHURU",4772,224,0,0,1,1044,6041
"RAJASTHAN","DAUSA",13854,12730,5,10,26,7653,34278
"RAJASTHAN","DHOLPUR",142,2826,1,0,0,985,3954
"RAJASTHAN","DUNGARPUR",3829,10065,20,0,622,3486,18022
"RAJASTHAN","GANGANAGAR",12,0,0,0,0,0,12
"RAJASTHAN","HANUMANGARH",231,3011,0,0,0,40,3282
"RAJASTHAN","JAIPUR",60063,12915,6,2,24,36867,109877
"RAJASTHAN","JAISALMER",48,49,0,0,17,1,115
"RAJASTHAN","JALORE",25210,11647,3,2,23,14479,51364
"RAJASTHAN","JHALAWAR",22349,42576,4,4,1437,4393,70763
"RAJASTHAN","JHUNJHUNU",38793,1787,4,0,0,3380,43964
"RAJASTHAN","JODHPUR",1773,382,0,0,0,5370,7525
"RAJASTHAN","KAROLI",7648,11099,1,11,3,9027,27789
"RAJASTHAN","KOTA",4000,4754,6,0,6,2309,11075
"RAJASTHAN","NAGAUR",19813,397,0,0,1,10401,30612
"RAJASTHAN","PALI",16605,12246,4,1,191,18960,48007
"RAJASTHAN","RAJSAMAND",9450,11883,1,2,15990,16965,54291
"RAJASTHAN","SAWAI MADHOPUR",5437,22245,3,1,10,4202,31898
"RAJASTHAN","SIKAR",39981,2780,3,1,25,5935,48725
"RAJASTHAN","SIROHI",11286,6524,1,2,17,2195,20025
"RAJASTHAN","TONK",5948,30450,14,0,242,15321,51975
"RAJASTHAN","UDAIPUR",20042,17407,31,71,13135,10985,61671
"TAMIL NADU","COIMBATORE",88184,1568,19,31,46,13269,103117
"TAMIL NADU","CUDDALORE",6988,834,14,6,0,8,7850
"TAMIL NADU","DHARMAPURI",49638,29407,36,62,386,838,80367
