"STATE","DISTRICT","0-6 HP","6-12 HP","12-18 HP","GREATER THAN 18 HP","NO LIFTING DEVICE","TOTAL"
"UTTAR PRADESH","GORAKHPUR",6,200,1383,65,0,1654
"UTTAR PRADESH","HAMIRPUR",0,839,19,370,0,1228
"UTTAR PRADESH","HARDOI",0,405,546,9,0,960
"UTTAR PRADESH","JALAUN",1,914,342,503,0,1760
"UTTAR PRADESH","JAUNPUR",70,161,233,360,0,824
"UTTAR PRADESH","JHANSI",16,331,10,52,0,409
"UTTAR PRADESH","JYOTIBA PHULENAGAR",81,141,100,71,0,393
"UTTAR PRADESH","KANNAUJ",2,39,5,199,0,245
"UTTAR PRADESH","KANPUR DEHAT",5,298,283,705,0,1291
"UTTAR PRADESH","KANPUR NAGAR",5,148,481,636,0,1270
"UTTAR PRADESH","KAUSHAMBI",10,530,922,190,0,1652
"UTTAR PRADESH","KHERI",48,393,262,475,0,1178
"UTTAR PRADESH","KUSHINAGAR",0,134,29,15,0,178
"UTTAR PRADESH","LALITPUR",15,143,2,2,0,162
"UTTAR PRADESH","LUCKNOW",28,260,57,62,0,407
"UTTAR PRADESH","MAHA MAYA NAGAR",1,76,10,63,0,150
"UTTAR PRADESH","MAHARAJ GANJ",4,101,172,4,0,281
"UTTAR PRADESH","MAHOBA",53,98,39,1,0,191
"UTTAR PRADESH","MAINPURI",3,389,10,110,0,512
"UTTAR PRADESH","MATHURA",0,35,9,0,0,44
"UTTAR PRADESH","MAU",89,56,8,247,0,400
"UTTAR PRADESH","MEERUT",165,338,32,24,0,559
"UTTAR PRADESH","MIRZAPUR",69,161,21,279,0,530
"UTTAR PRADESH","MORADABAD",74,732,334,164,0,1304
"UTTAR PRADESH","MUZZAFARNAGAR",8,419,178,220,0,825
"UTTAR PRADESH","PILIBHIT",36,40,85,18,0,179
