"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (LINED/PUCCA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLER - NUMBER","SPRINKLER - POTENTIAL UTILISED","OTHERS - NUMBER","OTHERS - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"HIMACHAL PRADESH","Kullu",0,0,0,0,0,0,0,0,0,0,0,0,1,40,1,40
"HIMACHAL PRADESH","Mandi",1,1.6,4,12.4,0,0,2,0,0,0,0,0,0,0,7,14
"HIMACHAL PRADESH","Sirmaur",4,9.74,98,450.81,6,373.23,301,1125.77,0,0,0,0,9,4.6,418,1964.15
"HIMACHAL PRADESH","Solan",28,112.88,421,2203.12,3,32.9,4,4.82,1,2,1,1,0,0,458,2356.72
"HIMACHAL PRADESH","Una",2,1.75,34,58.86,2,51.6,0,0,0,0,0,0,3,0,41,112.21
"JAMMU & KASHMIR","DODA",0,0,2,77.6,0,0,0,0,0,0,0,0,0,0,2,77.6
"JAMMU & KASHMIR","JAMMU",43,1120.63,101,237.6,1,4,2,4,0,0,0,0,23,61.88,170,1428.11
"JAMMU & KASHMIR","KATHUA",50,101,848,1222.26,17,2,15,34,0,0,0,0,1,0,931,1359.26
"JAMMU & KASHMIR","RAJOURI",9,386,2,65,0,0,0,0,0,0,0,0,2,111,13,562
"JAMMU & KASHMIR","SRINAGAR",3,136,21,263,1,16,0,0,0,0,0,0,0,0,25,415
"JAMMU & KASHMIR","UDHAMPUR",18,248.7,5,69.22,0,0,0,0,1,21.02,0,0,1,0,25,338.94
"JHARKHAND","BOKARO",268,62.52,4122,1328.92,11,4.57,177,92.14,2,0.88,1,0,422,106.85,5003,1595.88
"JHARKHAND","CHATRA",385,185.5,12669,6029.22,11,4.5,33,15.8,6,2.9,2,0.9,60,52.8,13166,6291.62
"JHARKHAND","DEOGHAR",75,1.8,3265,5.4,19,0,2120,37.8,12,0,0,0,173,0,5664,45
"JHARKHAND","DHANBAD",71,25.6,2843,946.36,14,5.46,23,12.2,30,5.6,3,1.8,271,7.7,3255,1004.72
"JHARKHAND","DUMKA",398,716.4,26898,48416.4,0,0,0,0,0,0,0,0,0,0,27296,49132.8
"JHARKHAND","EAST SINGHBHUM",14,7.47,700,410.46,0,0,184,85.48,11,0,2,1,108,25.06,1019,529.47
"JHARKHAND","GARHWA",428,93.57,1792,361.83,98,22.71,274,109.59,2,0,1,1.8,27,7.2,2622,596.7
"JHARKHAND","GIRIDIH",174,66.46,6036,2305.61,1,0.37,3,1.11,0,0,0,0,6,2.85,6220,2376.4
"JHARKHAND","GODDA",80,118.8,3832,6800.4,11,19.8,607,1085.4,2,3.6,0,0,1,0,4533,8028
"JHARKHAND","GUMLA",1678,0,9099,1.81,4,0,14,0,0,0,0,0,11,0,10806,1.81
"JHARKHAND","HAZARIBAGH",10,0.45,1972,1312.15,0,0,2,0,0,0,0,0,3,1.15,1987,1313.75
"JHARKHAND","JAMTARA",312,325.17,4577,4050.84,24,24.2,14,6.68,1,1.8,1,1.8,8,13.6,4937,4424.09
"JHARKHAND","KHUNTI",183,99.6,5923,3645.98,18,1.69,199,45.34,5,2.3,11,4.06,124,118.23,6463,3917.2
"JHARKHAND","KODERMA",759,1093.62,2216,2175.75,40,21.84,230,250.9,5,3.6,9,4.11,103,78.39,3362,3628.21
"JHARKHAND","LATEHAR",246,424.27,3627,5959.43,17,22.11,144,247.15,4,7.2,2,3.6,191,324.84,4231,6988.6
"JHARKHAND","LOHARDAGA",261,174.88,3872,2087.34,9,6.36,168,53.84,0,0,3,0.98,33,32.43,4346,2355.83
"JHARKHAND","PAKUR",549,841.21,817,565.65,3,0,48,19.3,11,3.3,1,0,31,17.5,1460,1446.96
"JHARKHAND","PALAMU",116,172.6,7506,11988.53,47,72.3,24,27.9,13,12.6,0,0,9,7.2,7715,12281.13
"JHARKHAND","RAMGARH",58,0,4231,1246.29,0,0,1,0.4,0,0,0,0,0,0,4290,1246.69
"JHARKHAND","RANCHI",1769,1808.78,11640,8973.62,89,48.44,315,272.59,12,7.01,3,3.47,90,45.99,13918,11159.9
"JHARKHAND","SAHEBGANJ",8,12.8,1419,1099.11,0,0,24,15.4,0,0,0,0,25,25.8,1476,1153.11
"JHARKHAND","SARAIKELA",26,10.23,1511,857.91,8,5.32,13,8.51,3,1.55,27,12.87,86,63.92,1674,960.31
"JHARKHAND","SIMDEGA",119,74.39,3269,2061.57,12,7.66,15,12.69,2,1,1,0,90,43.84,3508,2201.15
"JHARKHAND","WEST SINGHBHUM",31,41.4,932,1207.74,0,0,1,1.8,0,0,0,0,2,1.8,966,1252.74
"KARNATAKA","Bagalkote",2345,4577.72,1330,2278.34,4707,10508.58,351,883.42,5,25.84,7,17.36,96,11.45,8841,18302.71
"KARNATAKA","Bangalore",5,6.7,3,2.02,8,10.49,0,0,0,0,0,0,27,0,43,19.21
"KARNATAKA","Bangalore Rural",366,334.91,244,213.23,1603,1439.29,28,20.12,27,36.43,19,30,961,10.6,3248,2084.58
"KARNATAKA","Belgaum",15297,35458.55,12436,20992.5,24258,41801.68,2246,4247.06,121,242.03,541,1285.01,1935,242.36,56834,104269.19
"KARNATAKA","Bellary",456,1193.66,75,144.55,337,923.26,37,125.9,0,0,0,0,327,338.88,1232,2726.25
"KARNATAKA","Bidar",1743,2348.3,6912,8455.68,2706,3871.34,193,279.12,69,62.62,1,0.81,101,94.17,11725,15112.04
"KARNATAKA","Bijapur",11343,24701.42,6915,16848.19,12713,30876.16,3988,13888.94,777,1610.55,30,64.5,213,141,35979,88130.76
"KARNATAKA","Chamaraja Nagara",1895,2984.01,645,1377.22,376,733.53,69,105.05,4,23.3,5,33.56,164,0.66,3158,5257.33
"KARNATAKA","Chikmagalur",9,13.41,3,1.63,110,113.26,128,135,125,104.86,27,38.56,24,0,426,406.72
"KARNATAKA","Chitradurga",450,713.87,324,497.21,400,692.05,12,12.23,75,120.54,6,17.2,117,0,1384,2053.1
"KARNATAKA","Dakshina Kannada",1794,2329.77,2707,2960.25,3761,5349.03,5456,4643.71,1790,1954.29,8870,9511.93,1705,1343.84,26083,28092.82
"KARNATAKA","Davanagere",0,0,8,3.32,25,11.64,5,1.89,4,1.92,0,0,0,0,42,18.77
"KARNATAKA","Dharwar",0,0,3,5.69,12,8.35,8,6.82,0,0,0,0,1,0,24,20.86
"KARNATAKA","Gadag",19,39.49,17,36.93,29,76.93,4,13.56,0,0,0,0,56,153.28,125,320.19
"KARNATAKA","Gulbarga",3428,5904.17,4804,7791.95,5214,9074.45,1107,1920.98,11,17.04,12,14.33,5076,542.8,19652,25265.72
"KARNATAKA","Hassan",174,389.65,85,162.8,283,404.3,356,830.93,3,5.92,1,1.21,50,2.02,952,1796.83
"KARNATAKA","Haveri",1,0,1,0,3,6.31,2,1.93,0,0,0,0,149,0,156,8.24
"KARNATAKA","Kodagu",0,0,0,0,1,1.16,0,0,0,0,0,0,0,0,1,1.16
"KARNATAKA","Kolar",225,239.17,108,126.01,251,262.5,19,24.66,13,19.45,1,0.6,577,22.61,1194,695
"KARNATAKA","Koppal",137,334.52,203,319.66,155,301.43,41,53.97,11,14.52,1,1.87,1263,0.76,1811,1026.73
"KARNATAKA","Mandya",553,430.76,666,488.76,1487,1612.5,262,199.49,6,6.56,1,0.12,144,28.39,3119,2766.58
"KARNATAKA","Mysore",117,186.25,108,144.98,330,662.17,74,109.22,2,1.91,2,17.2,29,18.07,662,1139.8
"KARNATAKA","Raichur",34,59.32,791,1027.37,1002,2120.58,2046,2931.49,7,16.71,1,7.19,126,0,4007,6162.66
"KARNATAKA","Shimoga",427,345.59,642,524.12,705,684.11,1667,1551.54,964,964.56,1766,1671.94,56,32.22,6227,5774.08
